SLUG,PROMOTED_RUN_TITLE,ORGANISATION_TITLE,BUSINESS_MODEL,COUNT_UNIT_ENROLEMENT,UNLIMITED_ENRLEMENTS
business-of-beauty-introduction-to-the-beauty-industry,The Business of Beauty,Condé Nast College ,ExpertTrackAccess,47,0
dsp-digitalmarketing-ne-lep-new,Digital Skills: Digital Marketing,Accenture Skills to Succeed and North East Local Enterprise Partnership ,NoPurchase,21,0
engl3301-3,ENGL3301.3 Poetry in the Wild,The University of Newcastle Australia,NoPurchase,36,0
creating-instagram-profiles-and-maximising-engagement,TBC Creating Instagram Profiles and Maximising Engagement,Social Media College,UpgradedAccess,0,0
dsp-userexperience-yes,Digital Skills: User Experience,Accenture Skills to Succeed and Young Enterprise Scotland,NoPurchase,6,0
interpreting-reported-statistics-oc,Interpreting Reported Statistics,Coventry University,NoPurchase,22,0
nursing-and-public-health-7004-cpd-02,The Greatest Wealth is Health,Coventry University,NoPurchase,78,0
introduction-to-insurance,Introduction to Insurance,Chartered Insurance Institute,UpgradedAccess,10,0
cultural-policy-design-thinking,Design Thinking in Cultural Policy,"Goldsmiths, University of London ",UpgradedAccess,3,0
principles-measurement-bill-of-quantities,Principles of Measurement and Preparation of Contract Pricing Documents,Coventry University,NoPurchase,18,0
policy-formulation-and-analysis-in-healthcare-a2,Policy Formulation and Analysis in Healthcare (A2),Coventry University,NoPurchase,14,0
customer-experience-design-taking-a-customer-centric-approach,Customer Experience Design: Taking a Customer-Centric Approach,Swiss Education Group,NoPurchase,9,0
eduweight,EduWeight: Supporting Osteoarthritic Patients’ Weight Management,The University of Melbourne ,UpgradedAccess,6,0
research-philosophies-research-ethics-and-preparations-for-research-c,"Research Philosophies, Research Ethics and Preparations for Research",Coventry University,NoPurchase,12,0
gut-microbiome-in-health-and-disease,TBC The Gut Microbiome in Health and Disease,University College Cork ,UpgradedAccess,3,0
person-centred-care-c,Person-centred Care,Coventry University,NoPurchase,3,0
introduction-to-xero,Xero Accounting: A Beginner’s Guide,The Career Academy,UpgradedAccess,0,0
organisational-responses-external-forces,Organisational Responses to External Forces,Coventry University,NoPurchase,15,0
product-management,Introduction to Product Management,FutureLearn,UpgradedAccess,7,0
stem-teaching-primary-science-exploring-space-private,Teaching Primary Science: Exploring Space (P),National STEM Learning Centre,SponsoredAccess,2,0
importance-leaders-culture,The Importance of Leaders in Culture,Coventry University,UpgradedAccess,2,0
an-introduction-to-health-informatics-for-beginners,An Introduction to Health Informatics,The University of Manchester,UpgradedAccess,0,0
7010py-03,Literature Review and Business Plan - 7010PY - 03,Coventry University,UpgradedAccess,0,0
principles-of-physical-health-assessment-7002cpd-03-c,The Cardiovascular and Abdominal Systems (C),Coventry University,UpgradedAccess,0,0
preparedness-recovery-resilience,"Community Preparedness, Recovery and Resilience: An Introduction",Coventry University,UpgradedAccess,0,0
understanding-ielts,Understanding IELTS,British Council,UpgradedAccess,2565582,12
an-introduction-to-physical-computing,Introduction to Physical Computing,Lancaster University,SponsoredAccess,5729,0
learn-to-code,Learn to Code for Data Analysis,The Open University,UpgradedAccess,79305,10
english-language-teaching-learning,Learning and Learners,British Council,ExpertTrackAccess,95924,144
managing-public-money,Managing Public Money,The Open University,UpgradedAccess,8465,64
working-with-translation-private,Working with Translation,Cardiff University,SponsoredAccess,351,0
local-seo-a-definitive-guide-to-local-business-marketing,Local SEO: A Definitive Guide to Local Business Marketing,ClickSlice,ExpertTrackAccess,2017,38
agincourt,Agincourt 1415,University of Southampton,UpgradedAccess,21447,5
preparing-for-graduate-study-in-usa,Preparing for Graduate Study in the US: A Course for International Students,University of Michigan,UpgradedAccess,3695,34
translational-research,Introduction to Translational Research,Taipei Medical University,UpgradedAccess,10883,114
nursing-and-public-health,Could You Be the Next Florence Nightingale?,Coventry University,UpgradedAccess,992,31
owned-media,Digital Media Analytics: Using Data from Owned Media,Purdue University,UpgradedAccess,4284,91
social-determinants-of-health,Social Determinants of Health,BMJ,NoPurchase,4392,0
migration-cities,Migration and Cities,European University Institute (EUI),UpgradedAccess,5453,182
korea-global-context,Korea in a Global Context,Hanyang University,UpgradedAccess,7736,71
supercomputing,Supercomputing,Partnership for Advanced Computing in Europe (PRACE),UpgradedAccess,13242,93
supporting-individuals-with-health-conditions-into-work-delivering-ips,Supporting People with Health Conditions Into Work: Individual Placement and Support (IPS),Social Finance,UpgradedAccess,4915,134
monday-campaigns,The Monday Campaigns: Lessons in Public Health Promotion,Johns Hopkins University,UpgradedAccess,3613,117
7008py-02,Job Analysis and Competency Mapping: Methods and Approaches,Coventry University,NoPurchase,100,0
research-construction-management,Research for Construction Management,Coventry University,UpgradedAccess,920,29
overview-and-formulation-of-biotechnology-products,Pharmacotherapy: Understanding Biotechnology Products,Taipei Medical University,UpgradedAccess,1299,46
state-space-search,State Space Search,Dublin City University,NoPurchase,109,0
basic-concepts-in-microbiology-and-clinical-pharmacology-of-antimicrobials,Introduction to Practical Microbiology,BSAC,UpgradedAccess,2944,79
strategic-management-of-innovation-c,Strategic Management of Innovation (C),Coventry University,NoPurchase,40,0
exploring-catalysts-for-innovation,Exploring Catalysts for Innovation,Deakin University,NoPurchase,53,0
pedagogies-for-learning-looking-at-evidence-for-effectiveness-primary,Pedagogies for Learning: Looking at Evidence for Effectiveness,Coventry University,NoPurchase,104,0
cultivate-competitive-advantage-c,Classify Resources to Cultivate Competitive Advantage and Understand the Purpose of Corporate Social Responsibility (C),Coventry University,NoPurchase,125,0
ds-digital-marketing-communal,Digital Skills: Digital Marketing,Accenture Private,SponsoredAccess,22,0
ads712-2,ADH712.2 Food Insecurity and Human Development,Deakin University,NoPurchase,229,0
adh703-3,ADH703.3 The Nature and Ethics of Evidence in Humanitarian Action,Deakin University,NoPurchase,117,0
fundamentals-of-leadership-theory-a,Leadership Theory: The Basics (A),Coventry University,NoPurchase,128,0
7035cem-02,Fundamental Machine Learning for AI,Coventry University,NoPurchase,91,0
the-human-face-of-user-research,The Human Face of User Research: How to do User Research Online and Offline,This is Milk,UpgradedAccess,205,19
diagnostics-surveillance-and-horizon-scanning,"Diagnostics, Surveillance and Horizon Scanning",The University of Glasgow,NoPurchase,54,0
intercultural-communication,Intercultural Communication,Shanghai International Studies University (SISU),UpgradedAccess,66825,377
so-you-want-to-study-life-science,So You Want to Study Life Science?,The University of Glasgow,UpgradedAccess,5860,9
mis782-fl4,MIS782.4 Analytic Capabilities and Emerging Opportunities,Deakin University,NoPurchase,2441,0
live-smart,Live Smart: Your Essential Guide to Living at University,University of Reading,UpgradedAccess,2625,50
psychological-first-aid-covid-19-responders-african-countries,COVID-19: Psychological First Aid in Africa,Public Health England,SponsoredAccess,2241,0
muintir-neachtain-agus-leann-na-gaeilge-1700-1751,Muintir Neachtain agus Léann na Gaeilge 1700-1751,Dublin City University,UpgradedAccess,10,0
defining-the-problem-ibm,Defining the Problem (IBM),Coventry University,NoPurchase,59,0
what-roles-do-entrepreneurs-play-in-society,What Roles do Entrepreneurs Play in Society?,Coventry University,NoPurchase,79,0
basic-english-2-invite-only,Basic English 2: Pre-Intermediate,King's College London,SponsoredAccess,381,0
learning-through-play-with-six-bricks,Learning Through Play with Six Bricks: Grade R,The LEGO Foundation,UpgradedAccess,7,0
leading-and-building-a-global-community,Leadership Skills for Building a Global Community,Ubiquity University,ExpertTrackAccess,7,0
m101-fl5-sustaining-the-workforce,Sustaining the Workforce,Coventry University,NoPurchase,114,0
data-visualisation-with-python-seaborn-and-scatter-plots,Data Visualisation with Python: Seaborn and Scatter Plots,FutureLearn,ExpertTrackAccess,20,0
listening-university,Listening for Success at University,Coventry University,NoPurchase,97,0
entrepreneurial-sales-impact-week-2,Impact Week Two,Entrepreneurial Sales Institute (ESI),NoPurchase,14,0
strategic-choices-a,Strategic Choices (A),Coventry University,NoPurchase,35,0
crm-fundamentals-and-practice-introduction-to-salesforce,CRM Fundamentals and Practice: Introduction to Salesforce,FutureLearn,ExpertTrackAccess,170,0
point-estimation-and-feature-impact,Data Analytics and Data Mining: Point Estimation & Feature Impact Calculation,Dublin City University,NoPurchase,102,0
planning-the-project,Planning the Project,Coventry University,NoPurchase,102,0
project-planning-control04,"Project Management Software, PMIS and Alternative Project Lifecycle Models",Anglia Ruskin University,NoPurchase,49,0
operations-management,Operations Management,Anglia Ruskin University,NoPurchase,37,0
ethical-legal-implications-ai-c,Legal and Ethical Implications in Artificial Intelligence (AI) Development (C),Coventry University,NoPurchase,24,0
managing-in-healthcare-context,Managing in a Healthcare Context,Coventry University,NoPurchase,4,0
fmcs3100-1,FMCS3100.1: Living in a Digital World,The University of Newcastle Australia,NoPurchase,65,0
quantitative-research-methods-data-collection-and-analysis-c,"Quantitative Research Methods, Data Collection and Analysis",Coventry University,NoPurchase,12,0
liveability,"Melbourne, a most liveable city",RMIT University,SponsoredAccess,94,0
daimler-leadership-2020-live,Leadership 2020 Live,Daimler,NoPurchase,12,0
biodiversity-and-food-webs-spanish,SUSTAIN Biodiversidad y redes alimentarias,University of Groningen,NoPurchase,9,0
experimental-research-and-c,Experimental Research and Contemporary Issues (C2),Coventry University,NoPurchase,19,0
greatest-wealth-is-health-c,The Greatest Wealth is Health (C),Coventry University,NoPurchase,35,0
quantitative-data-descriptive-statistics-introduction,Quantitative Data and Descriptive Statistics: An Introduction,Coventry University,NoPurchase,20,0
study-groups-for-partners,Sandbox course: Study groups for partners,FutureLearn,NoPurchase,35,0
coaching2,Coaching Skills: An athlete-centred approach,Deakin University,ExpertTrackAccess,62,0
global-decision-making-a,Global Decision-making (A),Coventry University,NoPurchase,5,0
common-cybersecurity-attacks-and-defense-strategies,Cyber Security Foundations: Common Malware Attacks and Defense Strategies,EC-Council,ExpertTrackAccess,77,0
fmcs3201-2,FMCS3201.2 Idiot Box to Peak TV,The University of Newcastle Australia,NoPurchase,38,0
linkedin-community-management-and-analytics,LinkedIn Analytics and Community Management,Social Media College,UpgradedAccess,0,0
m198lon-02,Marketing Communications and Theory,Coventry University,NoPurchase,10,0
managing-diverse-workforce-c,Managing a Diverse Workforce (C),Coventry University,NoPurchase,20,0
probability-inferential-statistics,Probability and Inferential Statistics,Coventry University,NoPurchase,17,0
reflecting-evaluating-critical,Reflecting and critically evaluating,Coventry University,UpgradedAccess,4,0
7121maa-04,Supply Chain & Logistics Concepts - SC4,Coventry University,UpgradedAccess,0,0
tourism-technology,Tourism Technology: Intro to Robotics Tools for Tourism,Luleå University of Technology,UpgradedAccess,4,0
rooms-division-operations-and-personalised-guest-relations,Rooms Division Operations and Personalised Guest Relations,Swiss Education Group,UpgradedAccess,0,0
sit782-5,z-SIT782.5 - DELETE ME,Deakin University,UpgradedAccess,2,0
independent-research-project-literature-review-mscnursing-oc,Independent Research Project: Literature Review (MSc Nursing),Coventry University,NoPurchase,11,0
ds-mobile-tag,Digital Skills: Mobile (TAG),Accenture Private,SponsoredAccess,1,0
digital-skills-awareness-for-starting-higher-education,Digital Skills Awareness for Starting Higher Education,Bloomsbury Learning Exchange,UpgradedAccess,0,0
foundation-skills-for-nursing-care-06,Foundation Skills for Nursing Care 6,Coventry University,UpgradedAccess,0,0
building-services-electrical,M1-4042EXQ-SC4,Coventry University,UpgradedAccess,1,0
international-humanitarian-system-oc,The International Humanitarian System,Coventry University,NoPurchase,0,0
dsp-retail-vs-private,Digital Skills: Retail,Accenture Skills to Succeed and Virgin StartUp,NoPurchase,1,0
reimagining-organisations-for-sustainability,Climate Change: Transforming your Organisation for Sustainability,The Open University,NoPurchase,1,0
ux-user-experience-capstone,UX: Design Your Own Product,University of Michigan,UpgradedAccess,0,0
quantitative-research-methods-data-collection-analysis-oc,"Quantitative Research Methods, Data Collection and Analysis",Coventry University,NoPurchase,0,0
sensation-perception,Introduction to Psychology: Sensation and Perception,Monash University,ExpertTrackAccess,31126,169
communication-and-interpersonal-skills-at-work,Communication and Interpersonal Skills at Work,University of Leeds,SponsoredAccess,149554,0
inclusive-education,Inclusive Education: Essential Knowledge for Success,Queensland University of Technology,UpgradedAccess,25865,459
psychology-of-learning,Introduction to Psychology: The Psychology of Learning,Monash University,ExpertTrackAccess,49815,208
develop-cultural-intelligence,Develop Your Cultural Intelligence,Purdue University,UpgradedAccess,15729,276
introduction-to-anatomy,Introduction to Anatomy: Learning the Anatomical Alphabet,Charles Sturt University,SponsoredAccess,17846,0
learn-to-code-for-the-web,Learn to Code for the Web,University of Leeds,ExpertTrackAccess,54752,0
ww1-stories,World War 1: A History in 100 Stories,Monash University,UpgradedAccess,27703,4
medicinesadherence,Medicines Adherence: Supporting Patients with Their Treatment,King's College London,UpgradedAccess,24185,2
world-of-spies-keeping-secrets,World of Spies,Purdue University,UpgradedAccess,12074,43
dealing-with-loss-covid-19,"Grief, Loss, and Dying During COVID-19",The Tavistock and Portman NHS Foundation Trust,UpgradedAccess,2621,142
gender-and-development,Gender and Development,Deakin University,UpgradedAccess,10765,134
physiology,Physiology: the Science of Life,University of Liverpool,UpgradedAccess,17541,134
ww1-lessons-legacy,World War 1: Lessons and Legacy of the Great War,UNSW Canberra,NoPurchase,17754,0
managing-change-healthcare,Managing Change in a Healthcare Environment,UEA (University of East Anglia),UpgradedAccess,4747,248
putting-phenomenology-into-use-introduction-to-phenomenology-and-its-application-to-qualitative-research,Introduction to Phenomenology and its Application in Qualitative Research,The Open University,UpgradedAccess,624,39
cooperation-in-the-contemporary-world,Cooperation in the Contemporary World,University of Birmingham,NoPurchase,8396,0
systematic-literature-review,Systematic Literature Review: An Introduction,Coventry University,UpgradedAccess,2731,118
childhood-obesity,Preventing Childhood Obesity,University of Wollongong,UpgradedAccess,10892,61
chronic-respiratory-diseases-primary-care-settings,Chronic Respiratory Diseases (CRD) in Primary Care Settings,The University of Edinburgh,UpgradedAccess,2316,75
ethics-applied-cyberethics,Professional Practice: Applied Cyberethics,Dublin City University,NoPurchase,267,0
biology-genome-and-you,Why Biology Matters: The Genome and You,Pompeu Fabra University Barcelona,UpgradedAccess,1662,98
introduction-to-international-human-resources-management,International Human Resources Management: An Introduction,Coventry University,UpgradedAccess,5945,129
social-enterprise-mission-drift,Commercialization of Social Enterprises,Université Libre de Bruxelles,UpgradedAccess,3444,6
exploring-intersectionality-and-what-makes-you-unique-with-kiddy-smile,Exploring Intersectionality and What Makes You Unique with Kiddy Smile,Tommy Hilfiger,SponsoredAccess,2176,0
sit752-fl4,SIT752.4 Showcasing Your Professional Self,Deakin University,NoPurchase,473,0
ads717-4,People and Cities,Deakin University,NoPurchase,337,0
social-innovation-in-rural-areas,Social Innovation in Rural Areas,University of Padova,UpgradedAccess,2306,76
leadership-strategic-change,International Strategy (C),Coventry University,NoPurchase,129,0
hans-christian-andersens-fairy-tales-private,Hans Christian Andersen’s Fairy Tales,Hans Christian Andersen Centre,NoPurchase,26,0
digital-skills-digital-marketing-wcg,Digital Skills: Digital Marketing,Accenture Skills to Succeed and Warwickshire College Group,SponsoredAccess,1040,0
augmented-reality-technologies-and-development,Introduction to Augmented Reality Technologies and Development,Coventry University,NoPurchase,102,0
york-learning-community-ug,York’s Learning Community: Undergraduate,University of York,NoPurchase,1958,0
transforming-healthcare-business-proposal-c,Transforming Healthcare Business Proposal: An Introduction (C),Coventry University,NoPurchase,114,0
population-10-billion-private,Population 10 Billion: Researching Global Issues,The University of Sheffield,SponsoredAccess,407,0
cloudswyft-msft-da-practical-introduction-forab,Introduction to Data Analysis using Excel for Absolute Beginners,"CloudSwyft Global Systems, Inc.",ExpertTrackAccess,507,0
f4009fd-sc6,End of Life Care,Coventry University,NoPurchase,35,0
adh700-4,ADH700.4 The Politics of Development,Deakin University,NoPurchase,113,0
principles-management-leadership-healthcare-oc,Introduction to the Principles of Management and Leadership in Healthcare,Coventry University,NoPurchase,87,0
leading-managing-team-oc,Leading and Managing a Team,Coventry University,NoPurchase,83,0
robotics-with-raspberry-pi,Robotics With Raspberry Pi: Build and Program Your First Robot Buggy,Raspberry Pi Foundation,UpgradedAccess,5020,83
improving-computing-classroom-practice-through-action-research,Improving Computing Classroom Practice Through Action Research,Raspberry Pi Foundation,UpgradedAccess,1223,35
organisations-and-projects,Organisations and Projects,Coventry University,NoPurchase,100,0
mpl700-5,MPL700.5 Can Anybody Be a Leader?,Deakin University,NoPurchase,731,0
remote-and-triage-consultations,Conducting Remote Consultations and Triage,UCL (University College London) ,UpgradedAccess,1281,59
ethics-and-diversity-in-fashion,Ethics and Diversity in Fashion,Condé Nast College ,ExpertTrackAccess,44,0
3-pillars-of-successful-marketing-segmentation-targeting-and-positioning,"Strategic Marketing: Segmentation, Targeting, Positioning",The University of Law,UpgradedAccess,1174,73
sit703-5,SIT703.5 Presenting the Forensics Result and More,Deakin University,NoPurchase,240,0
general-introduction-to-metal-additive-manufacturing,Introduction to Metal Additive Manufacturing (AM) Technology,EIT RawMaterials,UpgradedAccess,611,33
stem-ambassador-induction,STEM Ambassadors Induction - Master Template,STEM Ambassadors,SponsoredAccess,26,0
information-usage-and-communications-within-contemporary-organisations-c,Information Usage and Communications within Contemporary Organisations (C),Coventry University,NoPurchase,66,0
how-to-measure-reduce-and-offset-your-companys-carbon-footprint,"How to Measure, Reduce, and Offset your Company’s Carbon Footprint",MSQ,UpgradedAccess,272,21
teaching-primary-science-classification-private,Teaching Primary Biology: Classification (P),National STEM Learning Centre,SponsoredAccess,2,0
principles-of-engineering-private,Principles of Engineering,King's College London,SponsoredAccess,124,0
decision-making-risk-c,Decision-making and Risk: An Introduction (C),Coventry University,NoPurchase,85,0
evidence-base-for-nursing-practice-c,The Sources of Evidence for Evidence Based Nursing Practice (C),Coventry University,NoPurchase,29,0
teaching-primary-science-humans-in-space,Teaching Primary Science: Humans in Space,National STEM Learning Centre,SponsoredAccess,74,0
uncovering-your-entrepreneurial-potential-a,Uncovering Your Entrepreneurial Potential (A),Coventry University,NoPurchase,127,0
leadership-c4,Leadership (C4),Coventry University,NoPurchase,158,0
person-centred-care-c2,Person-centred Care (C2),Coventry University,NoPurchase,41,0
7069exq-02,Quantitative Research Methods and Contemporary Issues,Coventry University,NoPurchase,86,0
hme706-2,Patient Information Management,Deakin University,NoPurchase,49,0
inclusion-exclusion-criteria-quality-assessment,Inclusion and Exclusion Criteria and Quality Assessment,Coventry University,NoPurchase,105,0
self-development-leadership,Awareness and Confidence for Effective Leadership,Within by Savoir-Relier,ExpertTrackAccess,167,0
making-inferences-correlation-regression-analysis,Making Inferences: Correlation and Regression Analysis,Coventry University,NoPurchase,13,0
the-implications-of-the-concept-of-equity-in-health-policy-a,The Implications of the Concept of Equity in Health Policy (A),Coventry University,NoPurchase,13,0
planning-the-project-oc,Planning the Project,Coventry University,NoPurchase,22,0
21st-century-healthcare-leader-manager,The 21st Century Healthcare Leader and Manager,Coventry University,NoPurchase,2,0
diversity-in-organisations-c,Diversity in Organisations (C),Coventry University,NoPurchase,21,0
cloudswyft-msft-azure-cloud-fundamentals-ai,Mastering Cloud Computing for AI: How to Use Microsoft Azure,"CloudSwyft Global Systems, Inc.",ExpertTrackAccess,99,0
fmcs3600-4,FMCS3600.4: Sublime Documentary Cinema: Aesthetics and Truth,The University of Newcastle Australia,NoPurchase,13,0
cloudswyft-msft-principles-of-machine-learning-pythoned,Microsoft Future Ready: Principles of Machine Learning with Python Programming,"CloudSwyft Global Systems, Inc.",NoPurchase,24,0
understanding-climate-change-using-satellite-data,Understanding Climate Change using Satellite Data,University of Twente,UpgradedAccess,5,0
marketing-audit,"The Marketing Audit and the Application of Marketing Models, Frameworks and STP",Coventry University,NoPurchase,14,0
independent-research-project-writing-up-oc,Independent Research Project: Writing Up,Coventry University,UpgradedAccess,0,0
entrepreneurial-mindset-two,Developing an Entrepreneurial Mindset,Coventry University,UpgradedAccess,13,0
water-management-greek,SUSTAIN Διαχείριση νερού,University of Groningen,NoPurchase,8,0
job-opportunities-in-wellness,Job Opportunities in Wellness,Welltodo,ExpertTrackAccess,29,0
datasciemethodsonpl,Microsoft Future Ready: Research Methods on Python Programming,"CloudSwyft Global Systems, Inc.",NoPurchase,23,0
technological-change-and-innovation-oc,Technological Change and Innovation,Coventry University,NoPurchase,1,0
managing-in-a-healthcare-context-c2,Managing in a Healthcare Context (C2),Coventry University,NoPurchase,3,0
ds-web-analytics-partner-demo,Digital Skills: Web Analytics (Partner Demo),Accenture Private,SponsoredAccess,0,0
changing-global-health-policy-environment,Different Forms of Power Influential to Policymaking,Coventry University,NoPurchase,1,0
project-planning-and-execution,Project Management: Planning and Execution,The University of Law,UpgradedAccess,5,0
developing-yourself,TBC Developing yourself,Valerie Gauthier,ExpertTrackAccess,1,0
domestic-building-science-human-comfort-heat,TBC Domestic Building Science: Human Comfort – Heat,Coventry University,UpgradedAccess,1,0
climate-change-analysis-satellite-data,TBC Do your own Climate Change Analysis with Satellite Data,University of Strathclyde,UpgradedAccess,0,0
informatics-learning-health-systems,An Introduction to Learning Health Systems: Big Data Meets Healthcare,The University of Manchester,UpgradedAccess,2,0
copywriting-for-digital-and-social-media-marketing,Copywriting: Digital Content and Social Media Marketing,Social Media College,UpgradedAccess,0,0
combinatorics-strategies-methods-private,Combinatorics: Strategies and Methods for Counting,University of Padova,SponsoredAccess,0,0
cisco-python-programming,Cisco: Python Programming (OpenEDG) ,The Open University,NoPurchase,0,0
strategic-conversation-design-social-media,Strategic Conversation Design for Social Media,Ravensbourne University London,ExpertTrackAccess,0,0
train-the-trainer-development-for-all-healthcare-professionals,Become a Better Trainer: Training Healthcare Professionals,UEA (University of East Anglia),UpgradedAccess,1,0
human-rights-and-international-criminal-law,Human Rights and International Criminal Law: An Introduction,University of Padova,UpgradedAccess,19176,293
vulnerable-children,Caring for Vulnerable Children,University of Strathclyde,UpgradedAccess,101173,533
psychological-first-aid-covid-19,COVID-19: Psychological First Aid,Public Health England,SponsoredAccess,129815,0
study-uk-education-advisors,Study UK: A Guide for Education Agents,British Council,SponsoredAccess,33811,2
through-engineers-eyes,Through Engineers' Eyes,UNSW Sydney,UpgradedAccess,14109,0
leading-digital,Leading Digital,Daimler,NoPurchase,7131,0
the-body-and-dna,How Does the Body Use DNA as a Blueprint?,University of Aberdeen,UpgradedAccess,9076,190
journey-to-birth-tcd,Journey to birth,Trinity College Dublin,UpgradedAccess,5615,83
ramon-llull,Understanding Ramon Llull,Pompeu Fabra University Barcelona,UpgradedAccess,3127,38
targeted-cancer-treatments,Demystifying Targeted Cancer Treatments,Cancer Research UK,UpgradedAccess,17373,189
irish-language,Irish 101,Dublin City University,UpgradedAccess,57019,600
tackling-inequalities,Tackling Inequalities Through Health and Social Care Design,University of Dundee,UpgradedAccess,3122,2
supply-chain-management,The Digital Economy: Effective Supply Chain Management,The Open University,UpgradedAccess,25288,164
introduction-to-conversational-interfaces,Introduction to Conversational Interfaces,UAL Creative Computing Institute,UpgradedAccess,5703,10
beginning-life-at-cardiff,Beginning Your Student Life at Cardiff University,Cardiff University,NoPurchase,2013,0
why-research-matters,Research Methods,Deakin University,NoPurchase,7531,112
foundations-of-arabic-for-global-communication,Foundations of Arabic for Global Communication,King's College London,UpgradedAccess,3,0
rome,Rome,University of Reading,UpgradedAccess,60240,555
innovation-strategy,Innovation Strategy,Université Libre de Bruxelles,UpgradedAccess,4586,45
work-life-balance-impact-of-remote-working-oc,Work-Life Balance and the Impact of Remote E-Working,Coventry University,NoPurchase,25,0
client-needs,Client Needs,Coventry University,NoPurchase,2049,0
managing-ibs,Improving Management of IBS,BMJ,NoPurchase,4983,0
harnessing-the-power-of-genomics-in-medicine,Genomic Medicine: Harnessing the Power of the Human Genome,The University of Glasgow,UpgradedAccess,1389,96
antimicrobial-stewardship-in-wound-management-espanolhones,Uso racional de antibióticos en el tratamiento de heridas,BSAC,UpgradedAccess,1009,16
behaviour-change,Utilising Social Science and Behaviour Change in Antimicrobial Stewardship Programmes,BSAC,UpgradedAccess,905,64
healthy-cooking,"Nutrition: Healthy Cooking, Healthy Living",Swiss Education Group,ExpertTrackAccess,65,0
entrepreneurial-mindset-one,Demystifying Entrepreneurship: How to Think Like an Entrepreneur,Coventry University,UpgradedAccess,14,0
state-mnc-relationships-primary-manufacturing-sectors,State-MNC Relationships in the Primary and Manufacturing Sectors (C),Coventry University,NoPurchase,172,0
adh714-3,ADH714.3 What or Who is the Gender in Gender and Development?,Deakin University,NoPurchase,140,0
eee726-3,EEE726.3 Engaging Digital Learners,Deakin University,NoPurchase,249,0
introduction-to-smart-contracts,Blockchain Basics and Applications: Introduction to Smart Contracts,Dublin City University,NoPurchase,83,0
sit720-3,SIT720.3 Model Appraisal in Supervised Learning,Deakin University,NoPurchase,893,0
eyccrf,Climate Change Risk in Finance: EY,The University of Edinburgh,NoPurchase,38,0
the-evolution-of-management-c,The Evolution of Management and Leadership Theory (C),Coventry University,NoPurchase,103,0
soca2065-4,SOCA2065.4:  About Time,The University of Newcastle Australia,NoPurchase,211,0
digital-leadership-closed,Digital Leadership,University of Reading,SponsoredAccess,64,0
identity-and-access-management-part-1,Cyber Security Foundations: Identity and Access Management,EC-Council,ExpertTrackAccess,62,0
trainer-teaching-t-levels-vocational-and-professional-upskilling,Trainer - Teaching T Levels: Vocational and Professional Upskilling,Education and Training Foundation (ETF),NoPurchase,44,0
pictures-of-youth-introduction-childrens-visual-culture,Pictures of Youth,University of York,UpgradedAccess,14852,268
interfaith-dialogue,Interfaith Dialogue for Combating Extremism among Young People,European University Institute (EUI),UpgradedAccess,2265,147
cx-design-for-cs-effective-cx-design-customer-journeys,Customer Experience Design for Customer Success: CX Impact and Strategic Insights,FutureLearn,ExpertTrackAccess,157,0
challenges-opportunities-global-marketing-ibm,Challenges and Opportunities in Global Marketing (IBM),Coventry University,NoPurchase,46,0
artificial-intelligence-in-bioinformatics,Artificial Intelligence in Bioinformatics,Taipei Medical University,UpgradedAccess,1086,35
teaching-core-skills,Teaching and Assessing Core Skills,British Council,UpgradedAccess,92,9
summative-assessment-strategies-secondary,Summative Assessment Strategies,Coventry University,NoPurchase,186,0
projects-in-contemporary-organisations,Projects in Contemporary Organisations,Anglia Ruskin University,NoPurchase,119,0
civil-service-induction,Induction to the Civil Service: Fast Stream (September),Government Campus,SponsoredAccess,941,0
languages,HASS1000.3: Languages: What Does Language Say About Us?,The University of Newcastle Australia,NoPurchase,561,0
computer-security-secure-programming,Computer Security: Secure Programming,Dublin City University,NoPurchase,31,0
career-planning-and-your-degree,University and Your Future: Career Planning and Making the Most of Your Degree,University of Surrey,UpgradedAccess,46,1
law-data-protection,"Professional Practice: Law - Papers on Fraud, Cybercrime and Evidence",Dublin City University,NoPurchase,266,0
literature-review-ibm,Literature Review (IBM),Coventry University,NoPurchase,63,0
consultancy-dissertation-c,Consultancy (C),Coventry University,NoPurchase,32,0
creativity-c1,Creativity (C1),Coventry University,NoPurchase,176,0
facilitator-training-mcs,FutureLearn Facilitator Training for Microcredentials,FutureLearn Partner Support,NoPurchase,61,0
soca3790-1,SOCA3790.1: Historical and Theoretical Perspectives on Migration,The University of Newcastle Australia,NoPurchase,40,0
defining-the-problem-a,Defining the Problem (A),Coventry University,NoPurchase,27,0
trainer-new-teacher-programme-how-am-i-going-to-teach,Trainer - New Teacher Programme: How am I going to teach?,Education and Training Foundation (ETF),NoPurchase,34,0
fortran-for-scientific-computing,Fortran for Scientific Computing,Partnership for Advanced Computing in Europe (PRACE),UpgradedAccess,6,0
managing-labour-flow,Human Resource Management: Managing Labour Flow,The Open University,NoPurchase,68,0
global-decision-making-c,Global Decision-making (C),Coventry University,NoPurchase,37,0
forecasting-and-reporting,Forecasting and Reporting,Anglia Ruskin University,NoPurchase,34,0
principles-management-leadership-healthcare-a1,Introduction to the Principles of Management and Leadership in Healthcare (A1),Coventry University,NoPurchase,54,0
sit764-3,z-SIT764.3 - DELETE ME,Deakin University,NoPurchase,16,0
